last_seen,bike_id
2025-12-11T11:01:07.330152,bike_80158
2025-12-11T11:01:12.604051,bike_20804
2025-12-11T11:01:15.033695,bike_45864
2025-12-10T23:01:06.716793,bike_85344
2025-11-30T17:01:09.813609,bike_47674
2025-12-11T11:01:13.711244,bike_50676
2025-12-11T11:01:11.504167,bike_52204
2025-12-11T11:01:10.144361,bike_88039
2025-12-10T17:01:00.997678,bike_44971
2025-12-11T11:01:09.224178,bike_01908
2025-12-11T11:01:07.904153,bike_63942
2025-12-11T11:01:06.112856,bike_25163
2025-12-11T11:01:11.830407,bike_62309
2025-12-11T11:01:12.550688,bike_60268
2025-12-11T11:01:16.104146,bike_44446
2025-12-11T11:01:05.924247,bike_68953
2025-12-10T11:01:01.999855,bike_50296
2025-12-11T11:01:15.224216,bike_69043
2025-12-11T11:01:06.384174,bike_52233
2025-12-11T11:01:06.224147,bike_61237
2025-12-11T11:01:16.153397,bike_11913
2025-12-11T11:01:11.450505,bike_42565
2025-12-11T11:01:13.054160,bike_20201
2025-12-11T11:01:15.430649,bike_44464
2025-12-11T11:01:10.755215,bike_61392
2025-12-11T11:01:09.032953,bike_69521
2025-12-11T11:01:06.609858,bike_16494
2025-12-11T11:01:13.964182,bike_88086
2025-12-11T11:01:13.511637,bike_13546
2025-12-11T11:01:12.230690,bike_77569
2025-12-11T11:01:09.210588,bike_77270
2025-11-30T05:01:09.868655,bike_26061
2025-12-11T11:01:06.152935,bike_78911
2025-12-11T11:01:06.371594,bike_77463
2025-12-11T11:01:13.170753,bike_72676
2025-12-11T11:01:14.544222,bike_80523
2025-12-11T11:01:06.531238,bike_89514
2025-12-11T11:01:07.510738,bike_21659
2025-12-11T11:01:13.711225,bike_56905
2025-12-11T11:01:12.372954,bike_89203
2025-12-11T11:01:13.724267,bike_61673
2025-12-11T11:01:12.984300,bike_44011
2025-11-27T18:03:54.605123,bike_09438
2025-12-11T11:01:11.024155,bike_45451
2025-12-11T11:01:11.064200,bike_69179
2025-12-11T11:01:13.951923,bike_71763
2025-12-11T11:01:12.413453,bike_58867
2025-12-11T11:01:16.890668,bike_47924
2025-12-11T05:01:07.588169,bike_09090
2025-12-11T11:01:08.670565,bike_45305
2025-12-04T11:01:11.591766,bike_47959
2025-12-11T05:01:07.368181,bike_57503
2025-12-11T11:01:07.011116,bike_52967
2025-11-28T17:01:13.123239,bike_10410
2025-12-11T11:01:08.241856,bike_52438
2025-12-11T11:01:10.164210,bike_57358
2025-12-11T11:01:15.144156,bike_69379
2025-12-11T11:01:12.404157,bike_03561
2025-12-11T11:01:15.210156,bike_78305
2025-12-11T11:01:09.290927,bike_76250
2025-12-11T11:01:14.272989,bike_63556
2025-12-11T11:01:07.124259,bike_25762
2025-12-03T17:01:12.140698,bike_75464
2025-12-11T11:01:05.843933,bike_61272
2025-11-30T05:01:06.977665,bike_67887
2025-12-11T11:01:15.632090,bike_43835
2025-12-10T17:01:02.211549,bike_78067
2025-12-11T11:01:14.744190,bike_75662
2025-12-11T11:01:14.730556,bike_42936
2025-12-11T11:01:15.104197,bike_44516
2025-12-11T11:01:06.650574,bike_88790
2025-12-11T11:01:14.424240,bike_20983
2025-12-11T11:01:15.273293,bike_04842
2025-12-11T11:01:07.204188,bike_12511
2025-12-11T11:01:07.833393,bike_57614
2025-12-11T11:01:16.824113,bike_25667
2025-12-09T23:01:07.803080,bike_73203
2025-12-11T11:01:16.905408,bike_68595
2025-12-11T11:01:11.344153,bike_13472
2025-12-10T17:01:07.097690,bike_70928
2025-12-11T11:01:06.033061,bike_03079
2025-12-11T11:01:09.484152,bike_53314
2025-12-11T11:01:09.544186,bike_51290
2025-12-08T17:01:06.062159,bike_60539
2025-12-11T11:01:12.292671,bike_30695
2025-12-10T05:01:09.631628,bike_72231
2025-12-11T11:01:11.410575,bike_60405
2025-12-08T23:01:11.737623,bike_72332
2025-12-11T11:01:12.284157,bike_51437
2025-12-11T11:01:15.464213,bike_45258
2025-12-11T11:01:12.971204,bike_46614
2025-12-11T11:01:11.889474,bike_08332
2025-12-11T11:01:08.410988,bike_72445
2025-12-11T11:01:13.184314,bike_77513
2025-12-11T11:01:14.272991,bike_74376
2025-12-11T11:01:08.024187,bike_45749
2025-12-08T17:01:06.876356,bike_47699
2025-12-10T17:01:07.561616,bike_34611
2025-12-11T11:01:06.371609,bike_89359
2025-12-11T11:01:13.904190,bike_51149
2025-12-11T11:01:15.750701,bike_80387
2025-12-11T11:01:16.691277,bike_61618
2025-12-11T11:01:14.424226,bike_72674
2025-12-11T05:01:02.791126,bike_77161
2025-12-11T11:01:16.504231,bike_75391
2025-12-11T11:01:10.324209,bike_60908
2025-12-11T11:01:15.234035,bike_43231
2025-12-11T11:01:06.170109,bike_47261
2025-12-02T17:01:07.523176,bike_68385
2025-12-11T11:01:15.051011,bike_79126
2025-12-11T11:01:13.644183,bike_20266
2025-12-11T11:01:08.033356,bike_53179
2025-12-08T17:01:09.685604,bike_85538
2025-12-11T11:01:09.813778,bike_85045
2025-12-11T11:01:07.292096,bike_11330
2025-12-11T11:01:14.744206,bike_56799
2025-12-11T11:01:08.653091,bike_00550
2025-12-11T11:01:11.190597,bike_46832
2025-12-11T11:01:10.844145,bike_12694
2025-12-11T11:01:12.791151,bike_72956
2025-12-11T11:01:08.512905,bike_52739
2025-12-11T11:01:11.244153,bike_78014
2025-12-11T11:01:15.913150,bike_70752
2025-12-11T11:01:14.353193,bike_24197
2025-12-08T17:01:11.425444,bike_88582
2025-12-11T11:01:09.073115,bike_17545
2025-12-11T11:01:09.305150,bike_58225
2025-12-11T11:01:15.793651,bike_89034
2025-12-10T17:01:09.671701,bike_79498
2025-12-11T11:01:12.612572,bike_03794
2025-12-11T11:01:12.050623,bike_70146
2025-12-11T11:01:08.451053,bike_89608
2025-12-11T11:01:10.971268,bike_46320
2025-12-11T11:01:07.523744,bike_68465
2025-12-11T11:01:07.890157,bike_42585
2025-12-11T11:01:14.473210,bike_17922
2025-12-11T11:01:06.553059,bike_68108
2025-12-11T11:01:08.944125,bike_25500
2025-12-11T05:01:02.531103,bike_69582
2025-12-10T11:01:02.053428,bike_35183
2025-12-11T11:01:11.692804,bike_70925
2025-12-11T11:01:12.533215,bike_80486
2025-12-11T11:01:09.032955,bike_24346
2025-12-11T11:01:10.873399,bike_89814
2025-12-11T11:01:09.224160,bike_23163
2025-12-11T11:01:14.773091,bike_89466
2025-12-11T11:01:13.324161,bike_68709
2025-12-11T11:01:15.570415,bike_52079
2025-12-11T11:01:07.613103,bike_68982
2025-12-11T11:01:14.730560,bike_76027
2025-12-11T11:01:16.170812,bike_68799
2025-12-11T11:01:15.184215,bike_47613
2025-12-11T11:01:15.764230,bike_81117
2025-12-11T05:01:06.530804,bike_24789
2025-12-11T11:01:12.213349,bike_81146
2025-12-11T11:01:07.944159,bike_24903
2025-12-11T11:01:14.370209,bike_23494
